128,23
160,42
134,24
135,22
139,15
141,23
124,27
137,29
102,39
134,19
125,55
81,25
166,18
137,22
129,25
136,22
138,36
134,21
431,145
464,146
432,159
434,145
458,145
469,137
466,158
435,123
457,158
470,142
466,147
467,148
472,164
480,166
446,142
445,133
498,133
442,164
479,148
457,129
123,627
105,626
123,621
120,631
107,634
154,634
112,636
116,634
110,627
129,631
84,634
116,634
474,815
504,833
464,813
473,813
487,835
470,821
456,801
467,802
452,809
463,817
467,825
508,819
468,813
475,813
464,771
478,793
478,805
479,812
464,809
474,814
472,822
473,814
490,816
430,825
481,829
490,826
478,817
483,818
480,822
464,807
231,977
231,965
228,974
231,978
235,979
235,975
279,979
240,970
232,977
215,961
230,973
240,964
219,970
233,973
263,983
